DRUG_CONCEPT_ID,STANDARD_CONCEPT_NAME,STANDARD_CONCEPT_CODE,STANDARD_VOCABULARY
35605482,2 ML ondansetron 2 MG/ML Injection,1740467,RxNorm
35605702,iron sucrose Injection,1741260,RxNorm
35605734,"100 ML albumin human, USP 250 MG/ML Injection [Albutein]",1741381,RxNorm
35606533,methylprednisolone 125 MG Injection,1743704,RxNorm
36250097,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray,1797865,RxNorm
36250141,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray,1797907,RxNorm
36249642,Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet,1801294,RxNorm
40220991,bortezomib Injection,1804994,RxNorm
40221381,150 ML sodium chloride 9 MG/ML Injection,1807627,RxNorm
40221382,sodium chloride 9 MG/ML Injection,1807628,RxNorm
40221383,25 ML sodium chloride 9 MG/ML Injection,1807630,RxNorm
40221385,100 ML sodium chloride 9 MG/ML Injection,1807632,RxNorm
40221387,500 ML sodium chloride 9 MG/ML Injection,1807634,RxNorm
40220357,1000 ML sodium chloride 9 MG/ML Injection,1807639,RxNorm
40220386,100 ML propofol 10 MG/ML Injection,1808217,RxNorm
40220389,propofol 10 MG/ML Injection,1808220,RxNorm
1593063,1000 ML glucose 50 MG/ML / potassium chloride 0.02 MEQ/ML / sodium chloride 4.5 MG/ML Injection,1863605,RxNorm
1593614,potassium chloride 20 MEQ Powder for Oral Solution [Klor-Con],1867547,RxNorm
1594382,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector,1870230,RxNorm
793962,0.5 ML influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03...,1942161,RxNorm
1510467,erenumab,2045613,RxNorm
1560161,0.5 ML influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 an...,2048961,RxNorm
1511246,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,2123072,RxNorm
1511247,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,2123076,RxNorm
1511248,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,2123111,RxNorm
37003518,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",2470234,RxNorm
21125875,Multivitamin preparation Oral Tablet,OMOP285147,RxNorm Extension
44054571,heparin 100 UNT/ML [Heparin Leo],OMOP1049202,RxNorm Extension
19074492,calcitriol 0.00025 MG Oral Capsule,308867,RxNorm
19074641,calcium polycarbophil 625 MG Oral Tablet,308934,RxNorm
19075032,cephalexin 250 MG Oral Capsule,309112,RxNorm
19075380,ciprofloxacin 500 MG Oral Tablet,309309,RxNorm
19075392,cisplatin 1 MG/ML Injectable Solution,309311,RxNorm
19075954,vitamin B12 1 MG/ML Injectable Solution,309594,RxNorm
19075984,vitamin B12 0.25 MG Oral Tablet,309604,RxNorm
19076131,dexamethasone 1 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension,309680,RxNorm
19076145,dexamethasone phosphate 10 MG/ML Injectable Solution,309696,RxNorm
19076997,estradiol 0.1 MG/ML Vaginal Cream,310169,RxNorm
19077344,ferrous sulfate 325 MG Oral Tablet,310325,RxNorm
19077375,finasteride 5 MG Oral Tablet,310346,RxNorm
19077462,fluoxetine 10 MG Oral Capsule,310384,RxNorm
19077463,fluoxetine 20 MG Oral Capsule,310385,RxNorm
19077498,fluvastatin 40 MG Oral Capsule,310405,RxNorm
19077513,folic acid 1 MG Oral Tablet,310410,RxNorm
19077546,furosemide 20 MG Oral Tablet,310429,RxNorm
19077547,gabapentin 100 MG Oral Capsule,310430,RxNorm
19077548,gabapentin 300 MG Oral Capsule,310431,RxNorm
19077652,glucagon (rDNA) 1 MG Injection,310497,RxNorm
19077763,guaifenesin 20 MG/ML Oral Solution,310604,RxNorm
19078106,hydrochlorothiazide 25 MG Oral Tablet,310798,RxNorm
19078522,indomethacin 75 MG Extended Release Oral Capsule,310992,RxNorm
19078559,insulin glargine 100 UNT/ML Injectable Solution,311041,RxNorm
19078603,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension",311048,RxNorm
1107882,loratadine 10 MG Oral Tablet,311372,RxNorm
19078824,50 ML mannitol 250 MG/ML Injection,311450,RxNorm
1506430,methylprednisolone 40 MG Injection,311659,RxNorm
19078924,midazolam 1 MG/ML Injectable Solution,311700,RxNorm
998395,heavy mineral oil 1000 MG/ML Oral Solution,311714,RxNorm
725179,mirtazapine 45 MG Oral Tablet,311726,RxNorm
717166,neostigmine methylsulfate 1 MG/ML Injectable Solution,311936,RxNorm
19079119,nystatin 100000 UNT/ML Oral Suspension,312055,RxNorm
1799141,oseltamivir 75 MG Oral Capsule,312122,RxNorm
1525220,pioglitazone 45 MG Oral Tablet,312441,RxNorm
1551192,prednisone 5 MG Oral Tablet,312617,RxNorm
938330,"sennosides, USP 8.6 MG Oral Tablet",312935,RxNorm
739207,sertraline 100 MG Oral Tablet,312938,RxNorm
739209,sertraline 50 MG Oral Tablet,312941,RxNorm
19079524,sodium chloride 9 MG/ML Injectable Solution,313002,RxNorm
19079658,spironolactone 25 MG Oral Tablet,313096,RxNorm
19079712,tacrolimus 0.5 MG Oral Capsule,313190,RxNorm
1341302,terazosin 5 MG Oral Capsule,313219,RxNorm
1501492,thyroid (USP) 30 MG Oral Tablet,313387,RxNorm
743721,24 HR venlafaxine 75 MG Extended Release Oral Capsule,313585,RxNorm
1127433,acetaminophen 325 MG Oral Tablet,313782,RxNorm
19079896,ascorbic acid 500 MG Chewable Tablet,313803,RxNorm
19080125,latanoprost 0.05 MG/ML Ophthalmic Solution,314072,RxNorm
19080129,lisinopril 20 MG Oral Tablet,314077,RxNorm
19080181,methylprednisolone 62.5 MG/ML Injectable Solution,314099,RxNorm
725180,mirtazapine 30 MG Oral Tablet,314111,RxNorm
752209,2 ML prochlorperazine 5 MG/ML Injection,314192,RxNorm
967434,simethicone 80 MG Chewable Tablet,314216,RxNorm
1316269,sildenafil 100 MG Oral Tablet,314229,RxNorm
1113346,aspirin 81 MG Chewable Tablet,318272,RxNorm
715939,escitalopram,321988,RxNorm
715940,escitalopram 10 MG Oral Tablet,349332,RxNorm
1526476,ezetimibe 10 MG Oral Tablet,349556,RxNorm
715965,escitalopram 10 MG Oral Tablet [Lexapro],352272,RxNorm
40064205,midazolam Injectable Solution,379133,RxNorm
40050771,Lactobacillus acidophilus Oral Capsule,381174,RxNorm
987250,lactulose 667 MG/ML Oral Solution,391937,RxNorm
19102189,omeprazole 20 MG Delayed Release Oral Tablet,402014,RxNorm
40226969,lidocaine hydrochloride 0.02 MG/MG Topical Gel,1011852,RxNorm
40228219,cetirizine hydrochloride 5 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet,1014574,RxNorm
40228214,cetirizine hydrochloride 10 MG Oral Tablet,1014678,RxNorm
40232717,oxycodone hydrochloride 15 MG Oral Tablet,1049611,RxNorm
40232756,oxycodone hydrochloride 5 MG Oral Tablet,1049621,RxNorm
40232454,diphenhydramine hydrochloride 50 MG/ML Injectable Solution,1049633,RxNorm
40232444,diphenhydramine hydrochloride 25 MG Oral Capsule,1049909,RxNorm
40233964,triamcinolone acetonide 0.001 MG/MG Topical Ointment,1085636,RxNorm
40236839,phenazopyridine hydrochloride 200 MG Oral Tablet,1094104,RxNorm
40236824,phenazopyridine hydrochloride 100 MG Oral Tablet,1094107,RxNorm
40238813,calcium pantothenate 0.3 MG,1102187,RxNorm
40240688,docusate sodium 100 MG Oral Capsule,1115005,RxNorm
40241280,Once-Daily gabapentin 600 MG Oral Tablet [Gralise],1115013,RxNorm
40240352,10 ML Ephedrine sulfate 5 MG/ML Prefilled Syringe,1115906,RxNorm
40240859,1 ML ephedrine sulfate 50 MG/ML Injection,1116294,RxNorm
40243340,atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG Oral Tablet,1190572,RxNorm
40243447,atropine sulfate 10 MG/ML Ophthalmic Solution,1190655,RxNorm
40243772,"0.5 ML diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Tenivac]",1190916,RxNorm
42707562,phenylephrine hydrochloride 25 MG/ML Ophthalmic Solution,1234579,RxNorm
42707627,rocuronium bromide 10 MG/ML Injectable Solution,1234995,RxNorm
42707649,lurasidone hydrochloride 20 MG Oral Tablet,1235247,RxNorm
42708415,docusate sodium 250 MG Oral Capsule,1245468,RxNorm
42708504,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,1246288,RxNorm
42708510,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,1246308,RxNorm
42708658,docusate sodium 100 MG Oral Capsule [Colace],1247756,RxNorm
42800175,hydrocortisone acetate 25 MG Rectal Suppository [Anusol HC],1291103,RxNorm
42800144,bismuth subcitrate 140 MG / metronidazole 125 MG / tetracycline hydrochloride 125 MG Oral Capsule,1294619,RxNorm
43011934,mexiletine hydrochloride 250 MG Oral Capsule,1362720,RxNorm
43012671,ergocalciferol 1.25 MG Oral Capsule,1367410,RxNorm
43526209,Lacticaseibacillus rhamnosus GG 15000000000 UNT Oral Capsule,1374744,RxNorm
43526395,prednisolone acetate 10 MG/ML Ophthalmic Suspension,1376336,RxNorm
43532365,glucose oxidase,1427073,RxNorm
44506752,riociguat,1439816,RxNorm
45775246,14 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Breo],1539891,RxNorm
45776321,tetracaine hydrochloride 5 MG/ML Ophthalmic Solution,1547771,RxNorm
45774634,naloxegol 12.5 MG Oral Tablet [Movantik],1551923,RxNorm
45776038,succinylcholine chloride 20 MG/ML Injectable Solution,1594589,RxNorm
45892978,cobicistat 150 MG / darunavir 800 MG Oral Tablet [Prezcobix],1600710,RxNorm
46221574,0.8 ML filgrastim-sndz 0.6 MG/ML Prefilled Syringe [Zarxio],1605075,RxNorm
46221345,bacitracin 0.5 UNT/MG Topical Ointment,1648110,RxNorm
46234415,doxycycline hyclate 50 MG Oral Capsule,1649405,RxNorm
46234523,doxycycline hyclate 100 MG Oral Capsule,1649988,RxNorm
46233711,doxycycline hyclate 100 MG Oral Tablet,1650143,RxNorm
46234049,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",1653204,RxNorm
46275258,2 ML magnesium sulfate 500 MG/ML Injection,1658221,RxNorm
46275622,ampicillin 2000 MG / sulbactam 1000 MG Injection,1659598,RxNorm
46287345,cefazolin 2000 MG Injection,1665060,RxNorm
46287424,1 ML ketorolac tromethamine 30 MG/ML Injection,1665461,RxNorm
46287612,2 ML midazolam 1 MG/ML Cartridge,1666777,RxNorm
35603389,azithromycin 500 MG Injection,1668238,RxNorm
35603400,erythromycin lactobionate 500 MG Injection,1668264,RxNorm
35602747,10 ML fosphenytoin sodium 75 MG/ML Injection,1670195,RxNorm
35603040,dexmedetomidine 0.004 MG/ML Injection,1718903,RxNorm
35603225,furosemide 10 MG/ML Injection,1719287,RxNorm
35606000,meropenem Injection,1722933,RxNorm
35606176,aflibercept Injection,1723180,RxNorm
35605599,fosaprepitant 150 MG Injection,1731077,RxNorm
35605845,morphine sulfate 4 MG/ML Injection,1732007,RxNorm
35604576,paroxetine hydrochloride 20 MG Oral Tablet,1738495,RxNorm
35605886,"albumin human, USP 50 MG/ML Injection",1741405,RxNorm
35603556,lidocaine 0.05 MG/MG Medicated Patch,1745091,RxNorm
36249736,100 ML glucose 50 MG/ML Injection,1795609,RxNorm
36250102,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Nasonex],1797870,RxNorm
40221352,150 ML vancomycin 5 MG/ML Injection,1807510,RxNorm
40221355,vancomycin 1000 MG Injection,1807513,RxNorm
1719008,Osmotic 24 HR nifedipine 60 MG Extended Release Oral Tablet,1812013,RxNorm
1719046,1 ML dexamethasone phosphate 4 MG/ML Injection,1812194,RxNorm
1593222,0.05 ML ranibizumab 10 MG/ML Prefilled Syringe,1864423,RxNorm
1592668,0.5 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe [Dilaudid],1872752,RxNorm
1594709,timolol 5 MG/ML Ophthalmic Solution,1923430,RxNorm
1510692,sodium zirconium cyclosilicate 5000 MG Powder for Oral Suspension,2047633,RxNorm
37003436,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",2468235,RxNorm
1537646,0.7 ML influenza A virus A/Tasmania/503/2020 (H3N2) antigen 0.0857 MG/ML / influenza A virus A/Victoria/2570/2019 (H1N1) antigen 0.0857 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.0857 MG/ML / influenza B virus B/Washington/02/2019 antigen 0...,2563017,RxNorm
43677387,alteplase 1 MG/ML Injectable Solution,OMOP675480,RxNorm Extension
36885577,Sodium Chloride Injectable Suspension,OMOP996366,RxNorm Extension
41252710,Dobutamine 250 MG Injectable Solution [Dobutrex],OMOP2450672,RxNorm Extension
797399,gabapentin,25480,RxNorm
1000560,ondansetron,26225,RxNorm
1308216,lisinopril,29046,RxNorm
938268,"sennosides, USP",36387,RxNorm
739138,sertraline,36437,RxNorm
1539403,simvastatin,36567,RxNorm
742267,topiramate,38404,RxNorm
948078,pantoprazole,40790,RxNorm
750982,bupropion,42347,RxNorm
1557272,alendronate,46041,RxNorm
1308842,valsartan,69749,RxNorm
924566,tamsulosin,77492,RxNorm
994341,meclizine,6676,RxNorm
904598,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide],93253,RxNorm
1332418,amlodipine,17767,RxNorm
19006231,gabapentin 100 MG Oral Capsule [Neurontin],105028,RxNorm
19010431,valacyclovir 500 MG Oral Tablet [Valtrex],108780,RxNorm
1316262,sildenafil,136411,RxNorm
19016762,ibuprofen 400 MG Oral Tablet [Advil Extra Strength],153009,RxNorm
19016821,olanzapine 10 MG Oral Tablet [Zyprexa],153048,RxNorm
19014880,azathioprine 50 MG Oral Tablet,197388,RxNorm
1136682,benzonatate 100 MG Oral Capsule,197397,RxNorm
1711792,dapsone 25 MG Oral Tablet,197558,RxNorm
1549104,"estrogens, conjugated (USP) 1.25 MG Oral Tablet",197662,RxNorm
19019073,ibuprofen 600 MG Oral Tablet,197806,RxNorm
1436651,mercaptopurine 50 MG Oral Tablet,197931,RxNorm
1551101,prednisone 10 MG Oral Tablet,198145,RxNorm
19019811,rifampin 300 MG Oral Capsule,198202,RxNorm
1836433,sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet,198334,RxNorm
19020053,acetaminophen 500 MG Oral Tablet,198440,RxNorm
993653,magnesium oxide 400 MG Oral Tablet,198741,RxNorm
1597772,glimepiride 2 MG Oral Tablet,199246,RxNorm
19022177,cabergoline 0.5 MG Oral Tablet,199703,RxNorm
742303,topiramate 25 MG Oral Tablet,199888,RxNorm
19022781,carvedilol 25 MG Oral Tablet,200033,RxNorm
19022826,mycophenolate mofetil 500 MG Oral Tablet,200060,RxNorm
1346828,carvedilol 12.5 MG Oral Tablet [Coreg],212389,RxNorm
797619,citalopram 20 MG Oral Tablet [Celexa],213344,RxNorm
941258,docusate,82003,RxNorm
1545959,atorvastatin 80 MG Oral Tablet,259255,RxNorm
19069200,ascorbic acid 500 MG Oral Tablet,282402,RxNorm
997899,clindamycin 300 MG Oral Capsule,284215,RxNorm
1307310,cinnamon preparation,285245,RxNorm
19072934,alprazolam 0.5 MG Oral Tablet,308048,RxNorm
19073093,amlodipine 10 MG Oral Tablet,308135,RxNorm
19073187,amoxicillin 500 MG Oral Capsule,308191,RxNorm
19073712,aspirin 81 MG Delayed Release Oral Tablet,308416,RxNorm
19073777,azithromycin 250 MG Oral Tablet,308460,RxNorm
19075034,cephalexin 500 MG Oral Capsule,309114,RxNorm
778479,tizanidine 4 MG Oral Tablet,313413,RxNorm
1717707,valacyclovir 1000 MG Oral Tablet,313564,RxNorm
1555142,fludrocortisone acetate 0.1 MG Oral Tablet,313979,RxNorm
19080128,lisinopril 10 MG Oral Tablet,314076,RxNorm
19080800,phenazopyridine 100 MG Delayed Release Oral Tablet,315170,RxNorm
1551838,fenofibrate 160 MG Oral Tablet,349287,RxNorm
1318953,Osmotic 24 HR nifedipine 60 MG Extended Release Oral Tablet [Nifedical],351438,RxNorm
719416,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Oral Tablet,541892,RxNorm
19114047,clonazepam 0.5 MG Oral Tablet [Valpax],542690,RxNorm
19122148,duloxetine 30 MG Delayed Release Oral Capsule,596930,RxNorm
715301,duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta],615186,RxNorm
1545996,atorvastatin 40 MG Oral Tablet,617311,RxNorm
19125043,sitagliptin 100 MG Oral Tablet [Januvia],665036,RxNorm
743793,24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor],729929,RxNorm
720810,pramipexole,746741,RxNorm
961269,ranitidine 150 MG Oral Tablet [Zantac],827189,RxNorm
19133280,cyclobenzaprine hydrochloride 5 MG Oral Tablet,828320,RxNorm
19133854,{21 (methylprednisolone 4 MG Oral Tablet [Medrol]) } Pack [Medrol Dosepak],834023,RxNorm
19017745,febuxostat 40 MG Oral Tablet [Uloric],834239,RxNorm
40163460,trazodone hydrochloride 100 MG Oral Tablet,856373,RxNorm
40163461,trazodone hydrochloride 100 MG Oral Tablet [Desyrel],856375,RxNorm
40162717,amitriptyline hydrochloride 25 MG Oral Tablet,856834,RxNorm
40162601,acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Vicodin],856898,RxNorm
40162515,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet,857002,RxNorm
40164898,metformin hydrochloride 1000 MG Oral Tablet [Glucophage],861006,RxNorm
40166362,methadone hydrochloride 5 MG Oral Tablet,864718,RxNorm
40166826,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet,866419,RxNorm
40167219,metoprolol tartrate 50 MG Oral Tablet [Lopressor],866516,RxNorm
40168138,"sennosides, USP 35.2 MG/ML Oral Solution",883726,RxNorm
40170056,morphine sulfate 60 MG Extended Release Oral Tablet,891893,RxNorm
40169993,morphine sulfate 30 MG Oral Tablet,892672,RxNorm
40173098,hydromorphone hydrochloride 2 MG Oral Tablet,897696,RxNorm
40173612,alendronic acid 70 MG Oral Tablet,904431,RxNorm
40175395,pravastatin sodium 20 MG Oral Tablet [Pravachol],904469,RxNorm
40175289,polyethylene glycol 3350 236000 MG / potassium chloride 2970 MG / sodium bicarbonate 6740 MG / sodium chloride 5860 MG / sodium sulfate 22740 MG Powder for Oral Solution,966920,RxNorm
40176131,omeprazole 20 MG Delayed Release Oral Capsule [Omesec],967525,RxNorm
40185280,losartan potassium 25 MG Oral Tablet,979485,RxNorm
40222686,hydroxyzine pamoate 50 MG Oral Capsule [Hypam],995418,RxNorm
19024770,biotin,1588,RxNorm
40231916,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet,1049214,RxNorm
40232745,oxycodone hydrochloride 30 MG Oral Tablet,1049618,RxNorm
40243938,hydrochlorothiazide 25 MG Oral Tablet [Hydrocot],1189779,RxNorm
43013030,apixaban 5 MG Oral Tablet,1364445,RxNorm
43012673,ergocalciferol 1.25 MG Oral Capsule [Drisdol],1367416,RxNorm
44816257,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Lortab],1495474,RxNorm
45775751,abacavir 600 MG / dolutegravir 50 MG / lamivudine 300 MG Oral Tablet [Triumeq],1546894,RxNorm
40169924,morphine sulfate 15 MG Extended Release Oral Tablet,891881,RxNorm
19019113,lorazepam 1 MG Oral Tablet,197901,RxNorm
778765,cyclobenzaprine hydrochloride 10 MG Oral Tablet,828348,RxNorm
19077241,famotidine 20 MG Oral Tablet,310273,RxNorm
1734104,azithromycin,18631,RxNorm
1346823,carvedilol,20352,RxNorm
778711,cyclobenzaprine,21949,RxNorm
722031,paroxetine,32937,RxNorm
744740,zolpidem,39993,RxNorm
1367500,losartan,52175,RxNorm
1545958,atorvastatin,83367,RxNorm
19005965,ondansetron 4 MG Disintegrating Oral Tablet,104894,RxNorm
711584,levetiracetam,114477,RxNorm
989878,lidocaine,6387,RxNorm
40176723,dicyclomine hydrochloride 10 MG Oral Capsule,991061,RxNorm
1754996,fluconazole 150 MG Oral Tablet,197699,RxNorm
19019418,omeprazole 20 MG Delayed Release Oral Capsule,198051,RxNorm
19021102,mycophenolate mofetil 250 MG Oral Capsule,199058,RxNorm
19023551,omeprazole 40 MG Delayed Release Oral Capsule,200329,RxNorm
19023636,citalopram 20 MG Oral Tablet,200371,RxNorm
19029024,celecoxib 100 MG Oral Capsule,205322,RxNorm
19033566,lorazepam 0.5 MG Oral Tablet [Ativan],206821,RxNorm
19034538,fluconazole 150 MG Oral Tablet [Diflucan],207108,RxNorm
19034582,fluconazole 200 MG Oral Tablet [Diflucan],207112,RxNorm
19041503,acetaminophen 500 MG Oral Tablet [Tylenol],209459,RxNorm
1332442,amlodipine 10 MG Oral Tablet [Norvasc],212575,RxNorm
986417,polyethylene glycol 3350,221147,RxNorm
1350332,cilostazol 50 MG Oral Tablet,242462,RxNorm
19059056,aspirin 81 MG Oral Tablet,243670,RxNorm
19059823,cholecalciferol 0.025 MG Oral Capsule,245500,RxNorm
40223757,"docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet",998740,RxNorm
1703063,valganciclovir,275891,RxNorm
19077654,glucose 5000 MG Chewable Tablet,310520,RxNorm
19078461,ibuprofen 200 MG Oral Tablet,310965,RxNorm
1150351,meloxicam 7.5 MG Oral Tablet,311486,RxNorm
1551170,prednisone 20 MG Oral Tablet,312615,RxNorm
1560305,omega-3 acid ethyl esters (USP),484348,RxNorm
715300,duloxetine 60 MG Delayed Release Oral Capsule,596934,RxNorm
19005046,pyridoxine,684879,RxNorm
19123437,duloxetine 40 MG Delayed Release Oral Capsule,616402,RxNorm
19049686,potassium chloride 10 MEQ Extended Release Oral Tablet [Klor-Con],628958,RxNorm
1395641,chondroitin sulfates 250 MG / glucosamine 500 MG / methylsulfonylmethane 250 MG Oral Capsule,636842,RxNorm
985331,aluminum hydroxide 100 MG/ML / magnesium hydroxide 100 MG/ML Oral Suspension,245346,RxNorm
19127890,inert ingredients,748794,RxNorm
19127894,{21 (drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack,748800,RxNorm
19127915,{21 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack,748868,RxNorm
19128020,{6 (azithromycin 250 MG Oral Tablet) } Pack,749783,RxNorm
1314612,nebivolol 10 MG Oral Tablet [Bystolic],751616,RxNorm
19130466,fluoxetine 20 MG Oral Capsule [Selfemra],799059,RxNorm
19039926,dexlansoprazole,816346,RxNorm
19133286,cyclobenzaprine hydrochloride 10 MG Oral Tablet [Flexeril],828350,RxNorm
19133905,penicillin V potassium 500 MG Oral Tablet,834102,RxNorm
778359,imipramine hydrochloride 10 MG Oral Tablet [Tofranil],835596,RxNorm
1115171,naproxen sodium 220 MG Oral Tablet,849574,RxNorm
40163492,zolpidem tartrate 10 MG Oral Tablet,854873,RxNorm
40163208,phenytoin sodium 100 MG Extended Release Oral Capsule,855671,RxNorm
40162729,amitriptyline hydrochloride 50 MG Oral Tablet,856845,RxNorm
40166136,24 HR oxybutynin chloride 5 MG Extended Release Oral Tablet [Ditropan],863638,RxNorm
40166540,tamsulosin hydrochloride 0.4 MG Oral Capsule,863669,RxNorm
40166828,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet,866427,RxNorm
40168655,clonidine hydrochloride 0.1 MG Oral Tablet [Catapres],884175,RxNorm
